RMSE,MAE,MAPE,sMAPE,MASE,R2,Bias,dataset,fold,n_train,n_test
0.3654986321926117,0.27662405371665955,42.144779205322266,50.58727264404297,0.2482505440711975,0.8613399267196655,-0.0591195710003376,muscatine,0,3285,3333
0.32215672731399536,0.24568112194538116,41.63303756713867,48.52580261230469,0.22066397964954376,0.8950039148330688,-0.04435016214847565,muscatine,1,6618,3333
0.3233788311481476,0.24541018903255463,37.49436569213867,47.03264617919922,0.21911342442035675,0.895028829574585,-0.05219075828790665,muscatine,2,9951,3333
0.3789425194263458,0.28492385149002075,47.42025375366211,54.63383865356445,0.24767287075519562,0.8616126775741577,-0.0661327913403511,muscatine,3,13284,3333
0.33915653824806213,0.2598537802696228,42.943214416503906,50.23884201049805,0.22756484150886536,0.8876994848251343,-0.025689994916319847,muscatine,4,16617,3333
