RMSE,MAE,MAPE,sMAPE,MASE,R2,Bias,t_start
14.09803697324434,10.935862086009719,102.6661244563045,18.814121466861838,0.20750409569644698,0.909112385288228,-0.9957677894844509,210124
14.050552151122243,10.850071199416385,107.11613430914515,18.60202332940396,0.20771503333693705,0.9084843434276448,-0.9232988620933966,218879
14.14160617332602,10.914038654618352,109.19068027382544,18.954569893993224,0.2070056850257712,0.9085393938412528,-0.7856945742080789,227634
14.120755818991796,10.921061030517292,100.25703296260093,18.744660950720874,0.2073362370311085,0.9087455565910804,-0.9580958532463799,236389
14.113457338155513,10.916147758113112,99.09918152352535,18.712180990123933,0.20777981344387203,0.9084901979151709,-0.9444995177698785,245144
14.180703061091974,10.969711285031309,99.26210736124341,18.850366456036017,0.20689838400027083,0.9083807072526481,-0.7652208695536279,253899
14.104782931956088,10.94894904311199,92.39370732382,18.439983290242953,0.20744649181201438,0.908612293955775,-0.9390907161536621,262654
14.103735889903449,10.920007336177665,90.75318137072315,18.41182127294612,0.20845291125397994,0.9081664715829965,-1.0367233488654803,271409
14.049873149667729,10.863889943940354,94.89773344564483,18.458026374184822,0.20760691939538664,0.9088143183275242,-0.8545693872376264,280164
13.911949735551431,10.802179420878915,95.84630399579137,18.148088502788564,0.2070468871031953,0.9094698690604894,-0.9398107590890356,288919
13.95444153566335,10.836399494129502,100.34032157449857,18.08369981626261,0.20749855121715213,0.909510445950355,-1.1470148888234444,297674
13.963827060652847,10.859296435759916,95.96568334433407,18.165107812643225,0.20737658695365863,0.9099815231024463,-1.0541927767370742,306429
13.867100604598958,10.814220904304358,87.69933284039688,18.055316376103203,0.20630386215433252,0.910279208965791,-1.0024289645782265,315184
13.984529575680677,10.846749159005135,101.35114351684365,18.102248483518615,0.20629846731621393,0.9085042520058683,-0.8961650283539956,323939
14.160192335650178,10.901511363145524,108.94359090562702,18.283325370472216,0.20728522681171405,0.906224216876094,-0.7666140476840414,332694
