"SSAD_biogas_production_raw_pkey","reactor","innoculation_date","sample_date","day","biogas_yield_ml","methane_pct","prairie_biomass_beef_manure_ratio","total_solids_pct","pH","NH3_sample_1","NH3_sample_2"
316,33,2023-08-23,2023-09-14,22,12,7.7,"10:1","25%",NA,NA,NA
317,33,2023-08-23,2023-09-17,25,NA,NA,"10:1","25%",NA,NA,NA
318,33,2023-08-23,2023-09-20,28,9,6.6,"10:1","25%",NA,NA,NA
319,33,2023-08-23,2023-09-23,31,6,43.6,"10:1","25%",NA,NA,NA
320,33,2023-08-23,2023-09-27,35,9,51.3,"10:1","25%",NA,NA,NA
321,34,2023-08-23,2023-08-27,4,233,23.3,"5:1","25%",NA,NA,NA
322,34,2023-08-23,2023-08-30,7,52,52,"5:1","25%",NA,NA,NA
323,34,2023-08-23,2023-09-02,10,20,62.6,"5:1","25%",NA,NA,NA
324,34,2023-08-23,2023-09-05,13,17,68,"5:1","25%",NA,NA,NA
325,34,2023-08-23,2023-09-08,16,31,28.2,"5:1","25%",NA,NA,NA
326,34,2023-08-23,2023-09-11,19,41,63.9,"5:1","25%",NA,NA,NA
327,34,2023-08-23,2023-09-14,22,28,66.8,"5:1","25%",NA,NA,NA
328,34,2023-08-23,2023-09-17,25,NA,NA,"5:1","25%",NA,NA,NA
329,34,2023-08-23,2023-09-20,28,16,58.2,"5:1","25%",NA,NA,NA
330,34,2023-08-23,2023-09-23,31,30,41.4,"5:1","25%",NA,NA,NA
331,34,2023-08-23,2023-09-27,35,26,48.8,"5:1","25%",NA,NA,NA
332,35,2023-08-23,2023-08-27,4,NA,NA,"4:1","25%",NA,NA,NA
333,35,2023-08-23,2023-08-30,7,NA,NA,"4:1","25%",NA,NA,NA
334,35,2023-08-23,2023-09-02,10,51,52.6,"4:1","25%",NA,NA,NA
335,35,2023-08-23,2023-09-05,13,24,33.3,"4:1","25%",NA,NA,NA
336,35,2023-08-23,2023-09-08,16,35,27.3,"4:1","25%",NA,NA,NA
337,35,2023-08-23,2023-09-11,19,27,17.8,"4:1","25%",NA,NA,NA
338,35,2023-08-23,2023-09-14,22,28,50.9,"4:1","25%",NA,NA,NA
339,35,2023-08-23,2023-09-17,25,NA,NA,"4:1","25%",NA,NA,NA
340,35,2023-08-23,2023-09-20,28,27,57.6,"4:1","25%",NA,NA,NA
341,35,2023-08-23,2023-09-23,31,57,76,"4:1","25%",NA,NA,NA
342,35,2023-08-23,2023-09-27,35,55,55.3,"4:1","25%",NA,NA,NA
343,36,2023-08-23,2023-08-27,4,300,2.4,"3:1","25%",NA,NA,NA
344,36,2023-08-23,2023-08-30,7,26,53.3,"3:1","25%",NA,NA,NA
345,36,2023-08-23,2023-09-02,10,48,71.3,"3:1","25%",NA,NA,NA
346,36,2023-08-23,2023-09-05,13,4,73,"3:1","25%",NA,NA,NA
347,36,2023-08-23,2023-09-08,16,2,47.2,"3:1","25%",NA,NA,NA
348,36,2023-08-23,2023-09-11,19,NA,NA,"3:1","25%",NA,NA,NA
349,36,2023-08-23,2023-09-14,22,12,38.9,"3:1","25%",NA,NA,NA
350,36,2023-08-23,2023-09-17,25,45,61.8,"3:1","25%",NA,NA,NA
351,36,2023-08-23,2023-09-20,28,NA,NA,"3:1","25%",NA,NA,NA
352,36,2023-08-23,2023-09-23,31,5,65.7,"3:1","25%",NA,NA,NA
353,36,2023-08-23,2023-09-27,35,NA,NA,"3:1","25%",NA,NA,NA
354,37,2023-08-23,2023-08-27,4,NA,NA,"5:1","35%",NA,NA,NA
355,37,2023-08-23,2023-08-30,7,20,58.5,"5:1","35%",NA,NA,NA
356,37,2023-08-23,2023-09-02,10,55,38,"5:1","35%",NA,NA,NA
357,37,2023-08-23,2023-09-05,13,93,37.8,"5:1","35%",NA,NA,NA
358,37,2023-08-23,2023-09-08,16,65,45.3,"5:1","35%",NA,NA,NA
359,37,2023-08-23,2023-09-11,19,68,21.2,"5:1","35%",NA,NA,NA
360,37,2023-08-23,2023-09-14,22,62,2.2,"5:1","35%",NA,NA,NA
361,37,2023-08-23,2023-09-17,25,NA,NA,"5:1","35%",NA,NA,NA
362,37,2023-08-23,2023-09-20,28,20,44.2,"5:1","35%",NA,NA,NA
363,37,2023-08-23,2023-09-23,31,19,45.3,"5:1","35%",NA,NA,NA
364,37,2023-08-23,2023-09-27,35,11,62.7,"5:1","35%",NA,NA,NA
365,38,2023-08-23,2023-08-27,4,344,3.1,"4:1","35%",NA,NA,NA
366,38,2023-08-23,2023-08-30,7,105,39.8,"4:1","35%",NA,NA,NA
367,38,2023-08-23,2023-09-02,10,93,38.3,"4:1","35%",NA,NA,NA
368,38,2023-08-23,2023-09-05,13,114,57.6,"4:1","35%",NA,NA,NA
369,38,2023-08-23,2023-09-08,16,154,8.5,"4:1","35%",NA,NA,NA
370,38,2023-08-23,2023-09-11,19,207,61.4,"4:1","35%",NA,NA,NA
371,38,2023-08-23,2023-09-14,22,352,47.9,"4:1","35%",NA,NA,NA
372,38,2023-08-23,2023-09-17,25,410,68.3,"4:1","35%",NA,NA,NA
373,38,2023-08-23,2023-09-20,28,458,64.6,"4:1","35%",NA,NA,NA
374,38,2023-08-23,2023-09-23,31,215,53.3,"4:1","35%",NA,NA,NA
375,38,2023-08-23,2023-09-27,35,540,56.3,"4:1","35%",NA,NA,NA
376,39,2023-08-23,2023-08-27,4,NA,NA,"3:1","35%",NA,NA,NA
377,39,2023-08-23,2023-08-30,7,60,72.9,"3:1","35%",NA,NA,NA
378,39,2023-08-23,2023-09-02,10,55,6.9,"3:1","35%",NA,NA,NA
379,39,2023-08-23,2023-09-05,13,58,5.1,"3:1","35%",NA,NA,NA
380,39,2023-08-23,2023-09-08,16,44,48.9,"3:1","35%",NA,NA,NA
381,39,2023-08-23,2023-09-11,19,52,24.1,"3:1","35%",NA,NA,NA
382,39,2023-08-23,2023-09-14,22,112,2.4,"3:1","35%",NA,NA,NA
383,39,2023-08-23,2023-09-17,25,NA,NA,"3:1","35%",NA,NA,NA
384,39,2023-08-23,2023-09-20,28,90,8.9,"3:1","35%",NA,NA,NA
385,39,2023-08-23,2023-09-23,31,59,12.2,"3:1","35%",NA,NA,NA
386,39,2023-08-23,2023-09-27,35,115,8.9,"3:1","35%",NA,NA,NA
387,40,2023-08-23,2023-08-27,4,146,7.9,"Pure Grass","35%",NA,NA,NA
388,40,2023-08-23,2023-08-30,7,60,62,"Pure Grass","35%",NA,NA,NA
389,40,2023-08-23,2023-09-02,10,23,56.9,"Pure Grass","35%",NA,NA,NA
390,40,2023-08-23,2023-09-05,13,12,8.7,"Pure Grass","35%",NA,NA,NA
391,40,2023-08-23,2023-09-08,16,28,32.6,"Pure Grass","35%",NA,NA,NA
392,40,2023-08-23,2023-09-11,19,22,10.1,"Pure Grass","35%",NA,NA,NA
393,40,2023-08-23,2023-09-14,22,27,6.1,"Pure Grass","35%",NA,NA,NA
394,40,2023-08-23,2023-09-17,25,NA,NA,"Pure Grass","35%",NA,NA,NA
395,40,2023-08-23,2023-09-20,28,5,8.9,"Pure Grass","35%",NA,NA,NA
396,40,2023-08-23,2023-09-23,31,25,2.3,"Pure Grass","35%",NA,NA,NA
397,40,2023-08-23,2023-09-27,35,25,4.6,"Pure Grass","35%",NA,NA,NA
398,41,2023-08-23,2023-08-27,4,60,2.2,"Pure Grass","35%",NA,NA,NA
399,41,2023-08-23,2023-08-30,7,55,74.3,"Pure Grass","35%",NA,NA,NA
400,41,2023-08-23,2023-09-02,10,56,41.7,"Pure Grass","35%",NA,NA,NA
401,41,2023-08-23,2023-09-05,13,105,4.1,"Pure Grass","35%",NA,NA,NA
402,41,2023-08-23,2023-09-08,16,110,52.1,"Pure Grass","35%",NA,NA,NA
403,41,2023-08-23,2023-09-11,19,126,39.1,"Pure Grass","35%",NA,NA,NA
404,41,2023-08-23,2023-09-14,22,105,7.4,"Pure Grass","35%",NA,NA,NA
405,41,2023-08-23,2023-09-17,25,NA,NA,"Pure Grass","35%",NA,NA,NA
406,41,2023-08-23,2023-09-20,28,85,NA,"Pure Grass","35%",NA,NA,NA
407,41,2023-08-23,2023-09-23,31,NA,NA,"Pure Grass","35%",NA,NA,NA
408,41,2023-08-23,2023-09-27,35,147,11.6,"Pure Grass","35%",NA,NA,NA
409,42,2023-08-23,2023-08-27,4,43,1.2,"Pure Grass","35%",NA,NA,NA
410,42,2023-08-23,2023-08-30,7,31,37.4,"Pure Grass","35%",NA,NA,NA
411,42,2023-08-23,2023-09-02,10,45,42.4,"Pure Grass","35%",NA,NA,NA
412,42,2023-08-23,2023-09-05,13,51,19.3,"Pure Grass","35%",NA,NA,NA
413,42,2023-08-23,2023-09-08,16,44,6.2,"Pure Grass","35%",NA,NA,NA
414,42,2023-08-23,2023-09-11,19,40,7.6,"Pure Grass","35%",NA,NA,NA
415,42,2023-08-23,2023-09-14,22,30,23.4,"Pure Grass","35%",NA,NA,NA
416,42,2023-08-23,2023-09-17,25,49,44,"Pure Grass","35%",NA,NA,NA
417,42,2023-08-23,2023-09-20,28,28,49,"Pure Grass","35%",NA,NA,NA
418,42,2023-08-23,2023-09-23,31,47,49.3,"Pure Grass","35%",NA,NA,NA
419,42,2023-08-23,2023-09-27,35,30,66,"Pure Grass","35%",NA,NA,NA
420,43,2023-08-23,2023-08-27,4,NA,NA,"10:1","35%",NA,NA,NA
421,43,2023-08-23,2023-08-30,7,13,52.1,"10:1","35%",NA,NA,NA
422,43,2023-08-23,2023-09-02,10,5,49.2,"10:1","35%",NA,NA,NA
423,43,2023-08-23,2023-09-05,13,5,60.3,"10:1","35%",NA,NA,NA
424,43,2023-08-23,2023-09-08,16,10,9.8,"10:1","35%",NA,NA,NA
425,43,2023-08-23,2023-09-11,19,11,51.5,"10:1","35%",NA,NA,NA
426,43,2023-08-23,2023-09-14,22,55,19.9,"10:1","35%",NA,NA,NA
427,43,2023-08-23,2023-09-17,25,NA,NA,"10:1","35%",NA,NA,NA
428,43,2023-08-23,2023-09-20,28,11,0.5,"10:1","35%",NA,NA,NA
429,43,2023-08-23,2023-09-23,31,15,1.7,"10:1","35%",NA,NA,NA
430,43,2023-08-23,2023-09-27,35,8,10.2,"10:1","35%",NA,NA,NA
431,44,2023-08-23,2023-08-27,4,40,4.7,"10:1","35%",NA,NA,NA
432,44,2023-08-23,2023-08-30,7,41,70.8,"10:1","35%",NA,NA,NA
433,44,2023-08-23,2023-09-02,10,44,16.5,"10:1","35%",NA,NA,NA
434,44,2023-08-23,2023-09-05,13,38,16.1,"10:1","35%",NA,NA,NA
435,44,2023-08-23,2023-09-08,16,58,1.9,"10:1","35%",NA,NA,NA
436,44,2023-08-23,2023-09-11,19,55,3.2,"10:1","35%",NA,NA,NA
437,44,2023-08-23,2023-09-14,22,67,4.8,"10:1","35%",NA,NA,NA
438,44,2023-08-23,2023-09-17,25,47,5.2,"10:1","35%",NA,NA,NA
439,44,2023-08-23,2023-09-20,28,85,11,"10:1","35%",NA,NA,NA
440,44,2023-08-23,2023-09-23,31,117,4,"10:1","35%",NA,NA,NA
441,44,2023-08-23,2023-09-27,35,57,6.7,"10:1","35%",NA,NA,NA
442,45,2023-08-23,2023-08-27,4,NA,NA,"10:1","35%",NA,NA,NA
443,45,2023-08-23,2023-08-30,7,56,78.7,"10:1","35%",NA,NA,NA
444,45,2023-08-23,2023-09-02,10,87,3.9,"10:1","35%",NA,NA,NA
445,45,2023-08-23,2023-09-05,13,64,50.3,"10:1","35%",NA,NA,NA
446,45,2023-08-23,2023-09-08,16,90,34.6,"10:1","35%",NA,NA,NA
447,45,2023-08-23,2023-09-11,19,53,4.8,"10:1","35%",NA,NA,NA
448,45,2023-08-23,2023-09-14,22,81,3.3,"10:1","35%",NA,NA,NA
449,45,2023-08-23,2023-09-17,25,56,10.6,"10:1","35%",NA,NA,NA
450,45,2023-08-23,2023-09-20,28,82,0.6,"10:1","35%",NA,NA,NA
451,45,2023-08-23,2023-09-23,31,110,16.8,"10:1","35%",NA,NA,NA
452,45,2023-08-23,2023-09-27,35,53,39.6,"10:1","35%",NA,NA,NA
453,46,2023-08-23,2023-08-27,4,272,14.8,"2:1","35%",NA,NA,NA
454,46,2023-08-23,2023-08-30,7,38,34.5,"2:1","35%",NA,NA,NA
455,46,2023-08-23,2023-09-02,10,58,39.3,"2:1","35%",NA,NA,NA
456,46,2023-08-23,2023-09-05,13,46,49.5,"2:1","35%",NA,NA,NA
457,46,2023-08-23,2023-09-08,16,38,NA,"2:1","35%",NA,NA,NA
458,46,2023-08-23,2023-09-11,19,30,38,"2:1","35%",NA,NA,NA
459,46,2023-08-23,2023-09-14,22,29,19.1,"2:1","35%",NA,NA,NA
460,46,2023-08-23,2023-09-17,25,46,12,"2:1","35%",NA,NA,NA
461,46,2023-08-23,2023-09-20,28,18,1.7,"2:1","35%",NA,NA,NA
462,46,2023-08-23,2023-09-23,31,10,1.2,"2:1","35%",NA,NA,NA
463,46,2023-08-23,2023-09-27,35,12,0.7,"2:1","35%",NA,NA,NA
464,47,2023-08-23,2023-08-27,4,NA,NA,"2:1","35%",NA,NA,NA
465,47,2023-08-23,2023-08-30,7,NA,NA,"2:1","35%",NA,NA,NA
466,47,2023-08-23,2023-09-02,10,NA,NA,"2:1","35%",NA,NA,NA
467,47,2023-08-23,2023-09-05,13,NA,NA,"2:1","35%",NA,NA,NA
468,47,2023-08-23,2023-09-08,16,30,17,"2:1","35%",NA,NA,NA
469,47,2023-08-23,2023-09-11,19,25,27.9,"2:1","35%",NA,NA,NA
470,47,2023-08-23,2023-09-14,22,25,24,"2:1","35%",NA,NA,NA
471,47,2023-08-23,2023-09-17,25,22,12.4,"2:1","35%",NA,NA,NA
472,47,2023-08-23,2023-09-20,28,32,15.2,"2:1","35%",NA,NA,NA
473,47,2023-08-23,2023-09-23,31,25,18.3,"2:1","35%",NA,NA,NA
474,47,2023-08-23,2023-09-27,35,22,41.1,"2:1","35%",NA,NA,NA
475,48,2023-09-28,2023-09-30,2,NA,NA,"1:1","35%",NA,NA,NA
476,48,2023-09-28,2023-10-03,5,55,0.2,"1:1","35%",NA,NA,NA
477,48,2023-09-28,2023-10-06,8,56,1.2,"1:1","35%",NA,NA,NA
478,48,2023-09-28,2023-10-09,11,95,0.2,"1:1","35%",NA,NA,NA
479,48,2023-09-28,2023-10-12,14,55,0.5,"1:1","35%",NA,NA,NA
480,48,2023-09-28,2023-10-16,18,49,1.6,"1:1","35%",NA,NA,NA
481,48,2023-09-28,2023-10-18,20,57,1.1,"1:1","35%",NA,NA,NA
482,48,2023-09-28,2023-10-21,23,40,19.1,"1:1","35%",NA,NA,NA
483,48,2023-09-28,2023-10-24,26,42,8.5,"1:1","35%",NA,NA,NA
484,48,2023-09-28,2023-10-27,29,56,21.9,"1:1","35%",NA,NA,NA
485,48,2023-09-28,2023-10-30,32,50,7.7,"1:1","35%",NA,NA,NA
486,48,2023-09-28,2023-11-03,36,38,30.8,"1:1","35%",NA,NA,NA
487,49,2023-09-28,2023-09-30,2,85,1.5,"1:1","35%",NA,NA,NA
488,49,2023-09-28,2023-10-03,5,NA,NA,"1:1","35%",NA,NA,NA
489,49,2023-09-28,2023-10-06,8,NA,NA,"1:1","35%",NA,NA,NA
490,49,2023-09-28,2023-10-09,11,NA,NA,"1:1","35%",NA,NA,NA
491,49,2023-09-28,2023-10-12,14,NA,NA,"1:1","35%",NA,NA,NA
492,49,2023-09-28,2023-10-16,18,NA,NA,"1:1","35%",NA,NA,NA
493,49,2023-09-28,2023-10-18,20,NA,NA,"1:1","35%",NA,NA,NA
494,49,2023-09-28,2023-10-21,23,2,9.6,"1:1","35%",NA,NA,NA
495,49,2023-09-28,2023-10-24,26,5,8.5,"1:1","35%",NA,NA,NA
496,49,2023-09-28,2023-10-27,29,15,1.3,"1:1","35%",NA,NA,NA
497,49,2023-09-28,2023-10-30,32,3,1.1,"1:1","35%",NA,NA,NA
498,49,2023-09-28,2023-11-03,36,3,2.1,"1:1","35%",NA,NA,NA
499,50,2023-09-28,2023-09-30,2,54,5.6,"1:1","35%",NA,NA,NA
500,50,2023-09-28,2023-10-03,5,2,5.4,"1:1","35%",NA,NA,NA
501,50,2023-09-28,2023-10-06,8,3,4.7,"1:1","35%",NA,NA,NA
502,50,2023-09-28,2023-10-09,11,5,12.6,"1:1","35%",NA,NA,NA
503,50,2023-09-28,2023-10-12,14,NA,NA,"1:1","35%",NA,NA,NA
504,50,2023-09-28,2023-10-16,18,NA,NA,"1:1","35%",NA,NA,NA
505,50,2023-09-28,2023-10-18,20,64,13.3,"1:1","35%",NA,NA,NA
506,50,2023-09-28,2023-10-21,23,12,13.8,"1:1","35%",NA,NA,NA
507,50,2023-09-28,2023-10-24,26,NA,NA,"1:1","35%",NA,NA,NA
508,50,2023-09-28,2023-10-27,29,4,14.9,"1:1","35%",NA,NA,NA
509,50,2023-09-28,2023-10-30,32,NA,NA,"1:1","35%",NA,NA,NA
510,50,2023-09-28,2023-11-03,36,3,46.4,"1:1","35%",NA,NA,NA
511,51,2023-09-28,2023-09-30,2,120,0.6,"1:1","25%",NA,NA,NA
512,51,2023-09-28,2023-10-03,5,NA,NA,"1:1","25%",NA,NA,NA
513,51,2023-09-28,2023-10-06,8,NA,NA,"1:1","25%",NA,NA,NA
514,51,2023-09-28,2023-10-09,11,5,3.8,"1:1","25%",NA,NA,NA
515,51,2023-09-28,2023-10-12,14,10,4.6,"1:1","25%",NA,NA,NA
516,51,2023-09-28,2023-10-16,18,5,0.8,"1:1","25%",NA,NA,NA
517,51,2023-09-28,2023-10-18,20,34,2.3,"1:1","25%",NA,NA,NA
518,51,2023-09-28,2023-10-21,23,NA,NA,"1:1","25%",NA,NA,NA
519,51,2023-09-28,2023-10-24,26,NA,NA,"1:1","25%",NA,NA,NA
520,51,2023-09-28,2023-10-27,29,NA,NA,"1:1","25%",NA,NA,NA
521,51,2023-09-28,2023-10-30,32,28,19,"1:1","25%",NA,NA,NA
522,51,2023-09-28,2023-11-03,36,3,22.2,"1:1","25%",NA,NA,NA
523,52,2023-09-28,2023-09-30,2,267,1.6,"1:1","25%",NA,NA,NA
524,52,2023-09-28,2023-10-03,5,42,8.4,"1:1","25%",NA,NA,NA
525,52,2023-09-28,2023-10-06,8,12,1,"1:1","25%",NA,NA,NA
526,52,2023-09-28,2023-10-09,11,33,0.6,"1:1","25%",NA,NA,NA
527,52,2023-09-28,2023-10-12,14,80,29,"1:1","25%",NA,NA,NA
528,52,2023-09-28,2023-10-16,18,NA,NA,"1:1","25%",NA,NA,NA
529,52,2023-09-28,2023-10-18,20,NA,NA,"1:1","25%",NA,NA,NA
530,52,2023-09-28,2023-10-21,23,17,15,"1:1","25%",NA,NA,NA
531,52,2023-09-28,2023-10-24,26,25,43.7,"1:1","25%",NA,NA,NA
532,52,2023-09-28,2023-10-27,29,12,42.1,"1:1","25%",NA,NA,NA
533,52,2023-09-28,2023-10-30,32,5,22.3,"1:1","25%",NA,NA,NA
534,52,2023-09-28,2023-11-03,36,6,44.1,"1:1","25%",NA,NA,NA
535,53,2023-09-28,2023-09-30,2,240,0.2,"1:1","25%",NA,NA,NA
536,53,2023-09-28,2023-10-03,5,NA,NA,"1:1","25%",NA,NA,NA
537,53,2023-09-28,2023-10-06,8,23,0.1,"1:1","25%",NA,NA,NA
538,53,2023-09-28,2023-10-09,11,32,4,"1:1","25%",NA,NA,NA
539,53,2023-09-28,2023-10-12,14,49,1.3,"1:1","25%",NA,NA,NA
540,53,2023-09-28,2023-10-16,18,35,4.3,"1:1","25%",NA,NA,NA
541,53,2023-09-28,2023-10-18,20,102,4.7,"1:1","25%",NA,NA,NA
542,53,2023-09-28,2023-10-21,23,41,11.8,"1:1","25%",NA,NA,NA
543,53,2023-09-28,2023-10-24,26,51,17.1,"1:1","25%",NA,NA,NA
544,53,2023-09-28,2023-10-27,29,38,33.1,"1:1","25%",NA,NA,NA
545,53,2023-09-28,2023-10-30,32,41,31.4,"1:1","25%",NA,NA,NA
546,53,2023-09-28,2023-11-03,36,32,26.3,"1:1","25%",NA,NA,NA
547,54,2023-09-28,2023-09-30,2,48,3.3,"2:1","25%",NA,NA,NA
548,54,2023-09-28,2023-10-03,5,55,0,"2:1","25%",NA,NA,NA
549,54,2023-09-28,2023-10-06,8,48,15.8,"2:1","25%",NA,NA,NA
550,54,2023-09-28,2023-10-09,11,63,11.4,"2:1","25%",NA,NA,NA
551,54,2023-09-28,2023-10-12,14,44,1.3,"2:1","25%",NA,NA,NA
552,54,2023-09-28,2023-10-16,18,NA,NA,"2:1","25%",NA,NA,NA
553,54,2023-09-28,2023-10-18,20,NA,NA,"2:1","25%",NA,NA,NA
554,54,2023-09-28,2023-10-21,23,NA,NA,"2:1","25%",NA,NA,NA
555,54,2023-09-28,2023-10-24,26,NA,NA,"2:1","25%",NA,NA,NA
556,54,2023-09-28,2023-10-27,29,NA,NA,"2:1","25%",NA,NA,NA
557,54,2023-09-28,2023-10-30,32,NA,NA,"2:1","25%",NA,NA,NA
558,54,2023-09-28,2023-11-03,36,NA,NA,"2:1","25%",NA,NA,NA
559,55,2023-09-28,2023-09-30,2,94,26.1,"2:1","25%",NA,NA,NA
560,55,2023-09-28,2023-10-03,5,48,3.3,"2:1","25%",NA,NA,NA
561,55,2023-09-28,2023-10-06,8,91,1.3,"2:1","25%",NA,NA,NA
562,55,2023-09-28,2023-10-09,11,85,34,"2:1","25%",NA,NA,NA
563,55,2023-09-28,2023-10-12,14,94,13.3,"2:1","25%",NA,NA,NA
564,55,2023-09-28,2023-10-16,18,NA,NA,"2:1","25%",NA,NA,NA
565,55,2023-09-28,2023-10-18,20,103,5.4,"2:1","25%",NA,NA,NA
566,55,2023-09-28,2023-10-21,23,177,7.8,"2:1","25%",NA,NA,NA
567,55,2023-09-28,2023-10-24,26,110,32,"2:1","25%",NA,NA,NA
568,55,2023-09-28,2023-10-27,29,101,7.3,"2:1","25%",NA,NA,NA
569,55,2023-09-28,2023-10-30,32,125,68.3,"2:1","25%",NA,NA,NA
570,55,2023-09-28,2023-11-03,36,107,5.7,"2:1","25%",NA,NA,NA
571,56,2023-09-28,2023-09-30,2,180,4.3,"2:1","25%",NA,NA,NA
572,56,2023-09-28,2023-10-03,5,10,6.2,"2:1","25%",NA,NA,NA
573,56,2023-09-28,2023-10-06,8,12,5.6,"2:1","25%",NA,NA,NA
574,56,2023-09-28,2023-10-09,11,10,4.3,"2:1","25%",NA,NA,NA
575,56,2023-09-28,2023-10-12,14,5,4.1,"2:1","25%",NA,NA,NA
576,56,2023-09-28,2023-10-16,18,NA,NA,"2:1","25%",NA,NA,NA
577,56,2023-09-28,2023-10-18,20,84,7.1,"2:1","25%",NA,NA,NA
578,56,2023-09-28,2023-10-21,23,NA,NA,"2:1","25%",NA,NA,NA
579,56,2023-09-28,2023-10-24,26,NA,NA,"2:1","25%",NA,NA,NA
580,56,2023-09-28,2023-10-27,29,12,56.5,"2:1","25%",NA,NA,NA
581,56,2023-09-28,2023-10-30,32,120,62,"2:1","25%",NA,NA,NA
582,56,2023-09-28,2023-11-03,36,12,83.1,"2:1","25%",NA,NA,NA
583,57,2023-09-28,2023-09-30,2,51,11.5,"1:1","15%",NA,NA,NA
584,57,2023-09-28,2023-10-03,5,48,20,"1:1","15%",NA,NA,NA
585,57,2023-09-28,2023-10-06,8,NA,NA,"1:1","15%",NA,NA,NA
586,57,2023-09-28,2023-10-09,11,55,13,"1:1","15%",NA,NA,NA
587,57,2023-09-28,2023-10-12,14,42,32,"1:1","15%",NA,NA,NA
588,57,2023-09-28,2023-10-16,18,108,66.8,"1:1","15%",NA,NA,NA
589,57,2023-09-28,2023-10-18,20,120,59.4,"1:1","15%",NA,NA,NA
590,57,2023-09-28,2023-10-21,23,123,52.2,"1:1","15%",NA,NA,NA
591,57,2023-09-28,2023-10-24,26,167,79.1,"1:1","15%",NA,NA,NA
592,57,2023-09-28,2023-10-27,29,118,80.7,"1:1","15%",NA,NA,NA
593,57,2023-09-28,2023-10-30,32,113,57.5,"1:1","15%",NA,NA,NA
594,57,2023-09-28,2023-11-03,36,53,63.7,"1:1","15%",NA,NA,NA
595,58,2023-09-28,2023-09-30,2,207,16.9,"1:1","15%",NA,NA,NA
596,58,2023-09-28,2023-10-03,5,13,31,"1:1","15%",NA,NA,NA
597,58,2023-09-28,2023-10-06,8,30,42.5,"1:1","15%",NA,NA,NA
598,58,2023-09-28,2023-10-09,11,39,52.6,"1:1","15%",NA,NA,NA
599,58,2023-09-28,2023-10-12,14,43,47.5,"1:1","15%",NA,NA,NA
600,58,2023-09-28,2023-10-16,18,28,66.3,"1:1","15%",NA,NA,NA
601,58,2023-09-28,2023-10-18,20,NA,NA,"1:1","15%",NA,NA,NA
602,58,2023-09-28,2023-10-21,23,11,37.1,"1:1","15%",NA,NA,NA
603,58,2023-09-28,2023-10-24,26,27,17.7,"1:1","15%",NA,NA,NA
604,58,2023-09-28,2023-10-27,29,27,6.1,"1:1","15%",NA,NA,NA
605,58,2023-09-28,2023-10-30,32,23,14.3,"1:1","15%",NA,NA,NA
606,58,2023-09-28,2023-11-03,36,62,12.7,"1:1","15%",NA,NA,NA
607,59,2023-09-28,2023-09-30,2,285,17.8,"1:1","15%",NA,NA,NA
608,59,2023-09-28,2023-10-03,5,45,20.8,"1:1","15%",NA,NA,NA
609,59,2023-09-28,2023-10-06,8,27,19.7,"1:1","15%",NA,NA,NA
610,59,2023-09-28,2023-10-09,11,56,49.4,"1:1","15%",NA,NA,NA
611,59,2023-09-28,2023-10-12,14,45,13.6,"1:1","15%",NA,NA,NA
612,59,2023-09-28,2023-10-16,18,30,17.1,"1:1","15%",NA,NA,NA
613,59,2023-09-28,2023-10-18,20,43,27.1,"1:1","15%",NA,NA,NA
614,59,2023-09-28,2023-10-21,23,47,10.9,"1:1","15%",NA,NA,NA
615,59,2023-09-28,2023-10-24,26,41,1.6,"1:1","15%",NA,NA,NA
616,59,2023-09-28,2023-10-27,29,38,3,"1:1","15%",NA,NA,NA
617,59,2023-09-28,2023-10-30,32,38,20,"1:1","15%",NA,NA,NA
618,59,2023-09-28,2023-11-03,36,20,4.2,"1:1","15%",NA,NA,NA
619,60,2023-09-28,2023-09-30,2,92,12.6,"Raw Manure","12%",NA,NA,NA
620,60,2023-09-28,2023-10-03,5,60,4.8,"Raw Manure","12%",NA,NA,NA
621,60,2023-09-28,2023-10-06,8,25,11.8,"Raw Manure","12%",NA,NA,NA
622,60,2023-09-28,2023-10-09,11,45,37.6,"Raw Manure","12%",NA,NA,NA
623,60,2023-09-28,2023-10-12,14,42,52.3,"Raw Manure","12%",NA,NA,NA
624,60,2023-09-28,2023-10-16,18,NA,NA,"Raw Manure","12%",NA,NA,NA
625,60,2023-09-28,2023-10-18,20,NA,NA,"Raw Manure","12%",NA,NA,NA
626,60,2023-09-28,2023-10-21,23,NA,NA,"Raw Manure","12%",NA,NA,NA
627,60,2023-09-28,2023-10-24,26,5,34.5,"Raw Manure","12%",NA,NA,NA
628,60,2023-09-28,2023-10-27,29,NA,NA,"Raw Manure","12%",NA,NA,NA
629,60,2023-09-28,2023-10-30,32,87,11.8,"Raw Manure","12%",NA,NA,NA
630,60,2023-09-28,2023-11-03,36,5,1,"Raw Manure","12%",NA,NA,NA
631,61,2023-09-28,2023-09-30,2,51,15.9,"Raw Manure","12%",NA,NA,NA
632,61,2023-09-28,2023-10-03,5,115,0.1,"Raw Manure","12%",NA,NA,NA
633,61,2023-09-28,2023-10-06,8,51,9.2,"Raw Manure","12%",NA,NA,NA
634,61,2023-09-28,2023-10-09,11,55,8.3,"Raw Manure","12%",NA,NA,NA
635,61,2023-09-28,2023-10-12,14,87,42.8,"Raw Manure","12%",NA,NA,NA
636,61,2023-09-28,2023-10-16,18,94,10.7,"Raw Manure","12%",NA,NA,NA
