"dataset_SSAD_biogas_production_pkey","total_solids_pct","prairie_biomass_beef_manure_ratio","day","biogas_ml_trial_1","biogas_ml_trial_2","biogas_ml_trial_3","biogas_ml_average","methane_pct_trial_1","methane_pct_trial_2","methane_pct_trial_3","methane_pct_average","daily_methane_mean_ml","cumulative_methane_mean_ml","daily_methane_pct","cumulative_biogas_mean_ml"
48,"15","10:1",13,74.4,28.75,NA,51.575,73.9,17.3,NA,45.6,6.12882916666667,35.7414004027778,NA,476.333166666667
49,"15","10:1",14,74.4,28.75,NA,51.575,73.9,17.3,NA,45.6,3.9197,39.6611004027778,45.6,527.908166666667
50,"15","10:1",15,13,28.75,NA,20.875,58.3,17.3,NA,37.8,1.5865,41.2476004027778,NA,548.783166666667
51,"15","10:1",16,13,28.75,NA,20.875,58.3,17.3,NA,37.8,1.315125,42.5627254027778,37.8,569.658166666667
52,"15","10:1",17,13,11.25,NA,12.125,58.3,46.2,NA,52.25,0.763875,43.3266004027778,NA,581.783166666667
53,"15","10:1",18,13,11.25,NA,12.125,58.3,46.2,NA,52.25,1.05588541666667,44.3824858194445,52.25,593.908166666667
54,"15","10:1",19,13,11.25,NA,12.125,58.3,46.2,NA,52.25,1.05588541666667,45.4383712361111,NA,606.033166666667
55,"15","10:1",20,13,11.25,NA,12.125,58.3,46.2,NA,52.25,1.05588541666667,46.4942566527778,NA,618.158166666667
56,"15","10:1",21,13,13.5,NA,13.25,58.3,44.8,NA,51.55,1.15385416666667,47.6481108194445,NA,631.408166666667
57,"15","10:1",22,13,13.5,NA,13.25,58.3,44.8,NA,51.55,1.13839583333333,48.7865066527778,51.55,644.658166666667
58,"15","10:1",23,13,13.5,NA,13.25,58.3,44.8,NA,51.55,1.13839583333333,49.9249024861111,NA,657.908166666667
59,"15","10:1",24,13,13.5,NA,13.25,58.3,44.8,NA,51.55,1.13839583333333,51.0632983194445,NA,671.158166666667
60,"15","10:1",25,13,26.25,NA,19.625,58.3,69.5,NA,63.9,1.68611458333333,52.7494129027778,NA,690.783166666667
61,"15","10:1",26,25,26.25,NA,25.625,47.7,69.5,NA,58.6,2.7290625,55.4784754027778,63.9,716.408166666667
62,"15","10:1",27,25,26.25,NA,25.625,47.7,69.5,NA,58.6,2.50270833333333,57.9811837361111,58.6,742.033166666667
63,"15","10:1",28,6,26.25,NA,16.125,8.6,69.5,NA,39.05,1.574875,59.5560587361111,NA,758.158166666667
64,"15","10:1",29,6,21.25,NA,13.625,8.6,61.8,NA,35.2,0.886760416666667,60.4428191527778,39.05,771.783166666667
65,"15","10:1",30,123.666666666667,21.25,NA,72.4583333333333,75.5,61.8,NA,68.65,4.25088888888889,64.6937080416667,35.2,844.2415
66,"15","10:1",31,123.7,21.25,NA,72.475,75.5,61.8,NA,68.65,8.29234791666667,72.9860559583334,68.65,916.7165
67,"15","10:1",32,123.7,21.25,NA,72.475,75.5,61.8,NA,68.65,8.29234791666667,81.278403875,NA,989.1915
68,"15","10:1",33,123.7,58.3333333333333,NA,91.0166666666667,75.5,61.5,NA,68.5,10.4138236111111,91.6922274861111,NA,1080.20816666667
69,"15","10:1",34,123.7,58.33,NA,91.015,75.5,61.5,NA,68.5,10.3908791666667,102.083106652778,68.5,1171.22316666667
70,"15","10:1",35,123.7,58.33,NA,91.015,75.5,61.5,NA,68.5,10.3908791666667,112.473985819444,68.5,1262.23816666667
71,"15","5:1",1,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA
72,"15","5:1",2,4,62,NA,33,52.9,3.7,NA,28.3,0,0,0,33
73,"15","5:1",3,3.78947368421053,11,NA,7.39473684210526,52.9,3.7,NA,28.3,2.09271052631579,2.09271052631579,28.3,40.3947368421053
74,"15","5:1",4,3.78947368421053,11,NA,7.39473684210526,52.9,5,NA,28.95,2.09271052631579,4.18542105263158,NA,47.7894736842105
75,"15","5:1",5,3.78947368421053,14,NA,8.89473684210526,52.9,5,NA,28.95,2.57502631578947,6.76044736842105,28.95,56.6842105263158
76,"15","5:1",6,3.78947368421053,14,NA,8.89473684210526,52.9,67.9,NA,60.4,2.57502631578947,9.33547368421053,NA,65.578947368421
77,"15","5:1",7,3.78947368421053,2.85714285714286,NA,3.32330827067669,52.9,67.9,NA,60.4,2.00727819548872,11.3427518796992,60.4,68.9022556390977
78,"15","5:1",8,3.78947368421053,2.85,NA,3.31973684210526,52.9,67.9,NA,60.4,2.00512105263158,13.3478729323308,NA,72.221992481203
79,"15","5:1",9,3.78947368421053,2.85,NA,3.31973684210526,52.9,67.9,NA,60.4,2.00512105263158,15.3529939849624,NA,75.5417293233082
80,"15","5:1",10,3.78947368421053,2.85,NA,3.31973684210526,52.9,67.9,NA,60.4,2.00512105263158,17.358115037594,NA,78.8614661654135
81,"15","5:1",11,3.78947368421053,2.85,NA,3.31973684210526,52.9,67.9,NA,60.4,2.00512105263158,19.3632360902256,NA,82.1812030075188
82,"15","5:1",12,3.78947368421053,2.85,NA,3.31973684210526,52.9,67.9,NA,60.4,2.00512105263158,21.3683571428571,NA,85.500939849624
83,"15","5:1",13,3.78947368421053,2.85,NA,3.31973684210526,52.9,67.9,NA,60.4,2.00512105263158,23.3734781954887,NA,88.8206766917293
84,"15","5:1",14,3.78947368421053,2.85,NA,3.31973684210526,52.9,61.3,NA,57.1,2.00512105263158,25.3785992481203,NA,92.1404135338345
85,"15","5:1",15,3.78947368421053,14,NA,8.89473684210526,52.9,61.3,NA,57.1,5.07889473684211,30.4574939849624,57.1,101.03515037594
86,"15","5:1",16,3.78947368421053,14,NA,8.89473684210526,52.9,42.1,NA,47.5,5.07889473684211,35.5363887218045,NA,109.929887218045
87,"15","5:1",17,3.78947368421053,6,NA,4.89473684210526,52.9,42.1,NA,47.5,2.325,37.8613887218045,47.5,114.82462406015
